TenCN,DiaChi,GioMo,GioDong,SDT,GiaoHang,XeMay,XeHoi,NVQuanLy,MaKhuVuc,DangHoatDong
SuShiX Hà Nội,456 Nguyễn Trãi,8:00:00,22:00:00,0909123456,1,1,1,000001,1,1
SuShiX Hải Phòng,123 Lạch Tray,8:00:00,22:00:00,0912345678,0,1,1,000021,1,1
SuShiX Quảng Ninh,987 Hạ Long,8:00:00,22:00:00,0923456789,0,1,0,000041,1,1
SuShiX Hạ Long,123 Trần Quốc Toản,8:00:00,22:00:00,0934567890,1,1,1,000061,1,1
SuShiX Thái Nguyên,789 Hoàng Văn Thụ,8:00:00,22:00:00,0945678901,1,1,0,000081,1,1
SuShiX Đà Nẵng,789 Phan Đình Phùng,8:00:00,22:00:00,0956789012,1,1,1,000101,2,1
SuShiX Huế,123 Lê Lợi,8:00:00,22:00:00,0967890123,0,1,1,000121,2,1
SuShiX Nha Trang,654 Trần Phú,8:00:00,22:00:00,0978901234,1,1,1,000141,2,1
SuShiX Phan Thiết,234 Nguyễn Huệ,8:00:00,22:00:00,0989012345,0,1,0,000161,2,1
SuShiX Quảng Ngãi,321 Nguyễn Chí Thanh,8:00:00,22:00:00,0990123456,0,1,0,000181,2,1
SuShiX Hồ Chí Minh,123 Lê Lợi,8:00:00,22:00:00,0901234567,1,1,1,000201,3,1
SuShiX Cần Thơ,456 Lý Tự Trọng,8:00:00,22:00:00,0912345678,1,1,1,000221,3,1
SuShiX Bình Dương,789 Đại Lộ Bình Dương,8:00:00,22:00:00,0923456789,0,1,1,000241,3,1
SuShiX Vũng Tàu,321 Nguyễn An Ninh,8:00:00,22:00:00,0934567890,1,1,1,000261,3,1
SuShiX Kiên Giang,456 Trần Hưng Đạo,8:00:00,22:00:00,0945678901,0,1,0,000281,3,1
